Glossar,Review,Mindm,Präs,Projekt,Punkte,Klausur,Gesamt
1.3,1,1.7,2,1.6,53.4,4,2.8
1,1,1,1,1,0,5,3
1,1,1,1.3,1.1,0,5,3.06
1.3,1,1,1,1.1,85,1.7,1.38
1,1,1,1,1,77.84,2.3,1.65
1.7,1,1.3,1,1.2,73.09,2.7,1.95
1.7,1,1.3,1,1.2,68.06,3,2.1
2,1,1.7,2,1.7,60.84,3.3,2.52
1,1,1,1.3,1.1,91.66,1.3,1.21
2,1,1.7,2,1.7,61.92,3.3,2.52
1,1,1.3,1,1.1,74.82,2.7,1.88
1,1,1,1,1,0,5,3
1,1,1,1.7,1.3,56.09,3.7,2.49
1.3,1,1.7,2,1.6,71.01,2.7,2.15
1,1,1,1.3,1.1,62.31,3.3,2.21
1.3,1,1,1,1.1,72.2,2.7,1.88
1,1,1,1,1,71.65,2.7,1.85
1.3,1,1,2,1.5,54.6,4,2.73
1,1,1,1.7,1.3,67.28,3,2.14
1.7,1,1,2,1.5,59.03,3.7,2.62
2,1,1.7,2,1.7,61.14,3.3,2.52
2,1,1.7,2,1.7,58.84,3.7,2.72
1,1,1,1,1,78.29,2.3,1.65
1.3,1,1,2,1.5,74.01,2.7,2.08
1.3,1,1,1.3,1.2,74.68,2.7,1.94
1.7,1,1.3,1,1.2,76.84,2.3,1.75
1.3,1,1,1,1.1,80.02,2,1.53
1,1,1,1,1,82.46,2,1.5
1,1,1,1.3,1.1,53.16,4,2.56
1,1,1.3,1,1.1,70.15,2.7,1.88
1.3,1,1,2,1.5,64.63,3.3,2.38
1.3,1,1,1.3,1.2,62.37,3.3,2.24
1.7,1,1,2,1.5,65.62,3,2.27
1,1,1,1,1,81.27,2,1.5
1,1,1,1.7,1.3,64.41,3.3,2.29
1,1,1,1,1,75.91,2.3,1.65
1.3,1,1,1.3,1.2,0,5,3.09
1.3,1,1.7,2,1.6,55.18,3.7,2.65
2,1,1.7,2,1.7,69.6,3,2.37
1.7,1,1,2,1.5,73.54,2.7,2.12
2,1,1.7,2,1.7,63.2,3.3,2.52
1,1,1,1,1,0,5,3
1,1,1,1,1,77.83,2.3,1.65
1,1,1.3,1,1.1,63.76,3.3,2.18
