Glossar,Review,Mindmap,Präsentation,Projekt,Punkte,Klausur,Gesamt
3.0,1.7,1.3,2.0,2.0,51.49,4.0,3.00
3.0,1.7,1.3,2.0,2.0,47.69,5.0,3.50
1.7,1.0,1.3,1.7,1.5,63.26,3.3,2.39
1.7,1.0,1.3,1.7,1.5,64.00,3.3,2.39
1.3,1.7,1.0,1.7,1.5,68.91,3.0,2.24
1.3,1.7,1.0,1.7,1.5,100.27,1.0,1.24
1.3,1.7,1.0,1.7,1.5,39.25,5.0,3.24
1.3,1.7,1.0,1.7,1.5,56.53,3.7,2.59
1.3,1.0,1.0,1.7,1.3,54.55,4.0,2.67
1.3,1.0,1.0,1.7,1.3,101.61,1.0,1.17
1.3,1.0,1.0,1.7,1.3,66.19,3.0,2.17
1.0,1.0,1.0,1.0,1.0,117.56,1.0,1.00
1.0,1.0,1.0,1.0,1.0,122.89,1.0,1.00
1.0,1.0,1.0,1.0,1.0,101.83,1.0,1.00
1.7,1.0,1.0,1.0,1.1,79.81,2.3,1.72
1.7,1.0,1.0,1.0,1.1,79.81,2.3,1.72
1.7,1.0,1.0,1.0,1.1,77.67,2.3,1.72
1.7,1.0,2.0,2.3,1.9,48.00,5.0,3.43
1.7,1.0,2.0,2.3,1.9,52.64,4.0,2.93
1.7,1.0,2.0,2.3,1.9,62.41,3.3,2.58
1.7,1.7,1.3,2.0,1.7,68.23,3.0,2.37
2.0,1.7,1.3,2.0,1.8,46.13,5.0,3.40
2.0,1.7,1.3,2.0,1.8,52.29,4.0,2.90
1.0,1.0,1.3,1.7,1.3,114.30,1.0,1.17
1.0,1.0,1.3,1.7,1.3,75.19,2.3,1.82
1.0,1.0,1.3,1.7,1.3,96.80,1.0,1.17
1.0,1.0,1.0,1.0,1.0,0.00,5.0,3.00
1.0,1.0,1.0,1.0,1.0,68.98,3.0,2.00
1.0,1.0,1.0,1.0,1.0,102.64,1.0,1.00
1.0,1.0,1.3,1.0,1.1,61.50,3.3,2.18
2.3,1.0,1.3,1.0,1.3,75.36,2.3,1.81
2.3,1.0,1.3,1.0,1.3,66.10,3.0,2.16
1.3,1.3,1.0,1.3,1.2,85.37,1.7,1.47
1.3,1.3,1.0,1.3,1.2,104.34,1.0,1.12
1.3,1.3,1.0,1.3,1.2,127.43,1.0,1.12
